序号,单词,音标,释义
421,diabolic,[?da???bɑ?l?k],"非常糟糕的;  极度的;  可恶的    If you describe something as diabolic, you are emphasizing that it is very bad,
extreme, or unpleasant."
422,oblique,[??bli?k],"1.间接的，不直截了当的 not expressed in a direct way：  indirect
2.斜的，倾斜的 not looking, pointing etc directly at something"
423,itinerant,[a??t?n?r?nt],"〔尤指工作上〕巡回的；流动的  travelling from place to place, especially to work"
424,decisive,[d??sa?s?v],"1.  果断的，决断.able to make choices quickly and confidently
2.  清晰明确的  definite and clear in a way that leaves no doubt;     very?clear?and?obvious:
unmistakable?,?unquestionable"
425,catharsis,[k??θɑ?rs?s],"〔通过写作、谈话、演戏等进行的〕情感宣泄，精神发泄 the act or process of removing strong or violent
emotions by expressing them through writing, talking, acting etc"
426,reducible,[r??du?s?bl],"可简化的  If you say that an idea, problem, or situation is not reducible to something simple, you mean
that it is complicated and cannot be described in a simple way."
427,open to,[?op?n] [tu?t?],"容易受到  (辱骂、批评)  的  ADJ If you say that a system, person, or idea is?open?to?something?such?as abuse?or?criticism, you mean they might?receive?abuse?or?criticism?because?of?their?qualities,?effects,
or?actions."
428,sweeping,[?swip??],"1.  影响大的；范围广的  affecting many things, or making an important difference to something
They want to make sweeping changes to education policies.  他们想要对教育政策进行大刀阔斧的改革。
2.一概而论的说法/笼统的概括〔含贬义〕  a statement etc that is too?general and that does not consider all
the facts"
429,wink,[w??k],"眨眼示意  When you wink at someone, you look toward them and close one eye very briefly, usually as a
signal that something is a joke or a secret."
430,biotic,[ba??ɑt?k],生物的；有关生命的    of or relating to living organisms
431,abiotic,[?e?ba??ɑ?t?k],非生物的，无生命的  devoid of life
432,hole,[hol],〔想法、计划等的〕漏洞，破绽，问题  a weak part or fault in something such as an idea or plan
433,wanting,[?w?nt??],"有欠缺的,不足的  something that is wanting lacks or misses something that it needs or something that you
expect it to have"
434,lag,[l?ɡ],"落后  If one thing or person lags behind another thing or person, their progress is slower than that of the
other thing or person."
435,opportunism,[?ɑ?p?r?tu?n?z?m],"机会主义，投机取巧〔含贬义〕  using every opportunity to gain power, money, or unfair advantages：
self-interest"
436,canned,[k?nd],"1.   千篇一律的；陈腐的  not original or special：  ??formulaic
2.   canned music/laughter     ：music or laughter that has been recorded and is used on television or in
radio programmes     〔在电视或电台节目中使用的〕预录音乐/笑声"
437,shoddy,[??ɑdi],"1. made or done cheaply or carelessly  劣质的，粗制滥造的；
2. unfair and dishonest  不正当的，卑鄙的"
438,parch,[pɑrt?],"晒[吹]干；使极干燥  if the sun or wind parches something, it makes it very dry"
439,saddle,['s?dl],"使承担〔苦差事〕saddle sb with sth
to make someone have a job or problem that is difficult or boring and that they do not want。  同义词：
burden，  encumber"
440,oracle,['?r?kl],"1.  圣贤；哲人 a person giving wise or authoritative decisions or opinions
2.  圣言；睿智的回答  an authoritative or wise expression or answer"
441,inquisitive,[?n'kw?z?t?v],"1.  过分好奇的；爱打听的；好追根究底的  asking too many questions and trying to find out too many details about something or someone
2.  好问的，爱探究  interested in a lot of different things and wanting to find out more about them"
442,roister,['r??st?],参与喧闹性娱乐;  狂欢  engage in noisy merrymaking; revel
443,ossify,[?ɑ:s?fa?],墨守成规；僵化 to become unwilling to consider new ideas or change your behaviour formal
444,fringe,[fr?nd?],"次要的;  边缘的  ADJ Fringe groups or events are less important or popular than other related groups or
events."
445,censor,['sens?r],"审查(书刊、剧本、信件等);  检查和删节  to examine in order to suppress or delete anything considered objectionable <censor the news>; also: to suppress or delete as objectionable <censor out indecent
passages>"
