,,GRE词以类记,
3948,affable,adj. 易于交谈的; 和蔼的,张红岩：list027
3949,alacrity,"n. 爽快, 乐意",张红岩：list027
3950,allay,"vt. 减轻, 缓和",张红岩：list027
3951,ambidextrous,adj. 十分灵巧的,张红岩：list027
3952,amiable,"n. 和蔼的,亲切的",张红岩：list027
3953,amicable,adj. 友好的,张红岩：list027
3954,amity,n. (人或国之间的)友好关系,张红岩：list027
3955,aplomb,"n. 沉着,镇静",张红岩：list027
3956,appease,"vt. 使平静,安抚",张红岩：list027
3957,applicable,"adj. 生效的,适合的",张红岩：list027
3958,astute,"adj. 机敏的,精明的",张红岩：list027
3959,austere,adj.朴素的; (人)正经的,张红岩：list027
3960,benevolent,"adj. 善心的,仁心的",张红岩：list027
3961,benign,adj. 慈祥的,张红岩：list027
3962,bland,adj. （人）情绪平稳的; （食物）无味的,张红岩：list027
3963,brisk,"adj. 敏捷的,活泼的; 清新健康的",张红岩：list027
3964,calculating,"adj. 深谋远虑的,精明的",张红岩：list027
3965,canny,adj. 精明仔细的,张红岩：list027
3966,catholic,adj.普遍的; 广泛的; (人)宽厚的,张红岩：list027
3967,chaste,adj. 贞洁的; 朴实的,张红岩：list027
3968,clemency,n.温和；仁慈，宽厚,张红岩：list027
3969,clement,adj. 仁慈的; 温和的,张红岩：list027
3970,compatible,"adj. 和谐共处的,相容的",张红岩：list027
3971,composed,"adj. 镇定的, 沉着的",张红岩：list027
3972,composure,"n. 镇静,沉着,自若",张红岩：list027
3973,congenial,adj. 意气相投的; 性情好的,张红岩：list027
3974,conversant,"adj. 精通的,熟知的",张红岩：list027
3975,deadpan,adj.无表情的,张红岩：list027
3976,deft,"adj. 灵巧的,熟练的",张红岩：list027
3977,dexterity,"n.纯熟,灵巧",张红岩：list027
3978,dexterous,"adj.灵巧的,熟练的",张红岩：list027
3979,dispassionate,adj.平心静气的,张红岩：list027
3980,efficacy,"n. 有效性,功效",张红岩：list027
3981,enliven,vt. 使...更活跃,张红岩：list027
3982,equable,"adj. 稳定的,不变的; (脾气)温和的",张红岩：list027
3983,expansive,"adj.(指人)健谈的,开朗的;可扩大的 ;可伸展的",张红岩：list027
3984,familiarity,n.精通; 亲近; 不拘礼仪,张红岩：list027
3985,frugal,"adj. 节约的,节俭的",张红岩：list027
3986,goodwill,n.友好,张红岩：list027
3987,gracious,adj.大方的，和善的；奢华的,张红岩：list027
3988,graphic,adj. 图表的; 生动的,张红岩：list027
3989,hardheaded,"adj. (商业上)现实的,精明的",张红岩：list027
3990,humane,"adj. 人道的,慈悲的",张红岩：list027
3991,imperturbable,"adj. 冷静的,沉着的",张红岩：list027
3992,impolitic,"adj. 不智的,失策的",张红岩：list027
3993,ingenious,"adj.聪明的,有发明天才的",张红岩：list027
3994,ingenuity,"n.巧思,聪敏",张红岩：list027
3995,ingenuous,"adj.纯朴的,单纯的",张红岩：list027
3996,intellect,"n. 智力,思维能力",张红岩：list027
3997,intellectual,adj.智力的，理智的；n.知识分子,张红岩：list027
3998,intrepid,adj. 无畏的; 刚毅的,张红岩：list027
3999,inviolable,adj. 不可侵犯的; 不可亵渎的,张红岩：list027
4000,invulnerable,adj. 无法伤害的,张红岩：list027
4001,judicious,adj. 有判断力的; 明智的,张红岩：list027
4002,leisureliness,"n. 悠然,从容",张红岩：list027
4003,leniency,n.温和，宽容,张红岩：list027
4004,lenient,adj. 宽大的; 仁慈的,张红岩：list027
4005,levelheaded,"adj.头脑冷静的,稳健的",张红岩：list027
4006,methodical,"adj. 细心的,有条不紊的",张红岩：list027
4007,nonchalance,n.冷漠，缺少关怀；沉着,张红岩：list027
4008,operative,adj. (计划等)实施中的; 生效的,张红岩：list027
4009,outgoing,adj. 友善的; 即将离去的,张红岩：list027
4010,outwit,vt. 以机智胜过,张红岩：list027
4011,perky,adj. 神气的; 活泼的,张红岩：list027
4012,perspicuity,n.明晰；聪明睿智,张红岩：list027
4013,phlegmatic,"adj. 冷静的,冷淡的",张红岩：list027
4014,poise,"vi. vt. 使相等,使平衡; n. 泰然自若,信心",张红岩：list027
4015,proficient,"adj. 熟练的,精通的",张红岩：list027
4016,provident,adj.深谋远虑的; 节俭的,张红岩：list027
4017,prudent,adj.审慎的，三思而后行的，精明的,张红岩：list027
4018,puckish,adj. 淘气的,张红岩：list027
4019,racy,"adj. 活泼的,生动的",张红岩：list027
4020,rational,adj.理性的；合理的,张红岩：list027
4021,resourceful,adj. 机智的,张红岩：list027
4022,retrench,"vi. vt.节省,紧缩费用",张红岩：list027
4023,sagacious,"adj. 聪明的,睿智的",张红岩：list027
4024,sage,adj. 智慧的; n. 智者,张红岩：list027
4025,sane,"adj. 神志清楚的,明智的",张红岩：list027
4026,sanity,n. 神志清楚,张红岩：list027
4027,sapient,adj. 有智慧的,张红岩：list027
4028,sedate,adj. 镇静的,张红岩：list027
4029,sensible,"adj. 明智的,合理的;可感觉到的",张红岩：list027
4030,shrewd,"adj.判断敏捷的,精明的",张红岩：list027
4031,skimp,vt.节省花费,张红岩：list027
4032,sober,adj.清醒的; 庄重的,张红岩：list027
4033,sparing,adj.节俭的,张红岩：list027
4034,spartan,adj.简朴的; 刻苦的,张红岩：list027
4035,staid,"adj.稳重的,沉着的",张红岩：list027
4036,stint,"vi. vt.吝惜,节省",张红岩：list027
4037,subdued,"adj. (光和声)柔和的,缓和的; (人)温和的",张红岩：list027
4038,tact,n.机智; 圆滑,张红岩：list027
4039,unflappable,"adj. 临危不乱的,镇定自若的",张红岩：list027
4040,unmoved,"adj. 无动于衷的,冷漠的; 镇定的",张红岩：list027
4041,vibrancy,"n.生机勃勃,活泼",张红岩：list027
4042,virtuosity,"n.精湛技巧,高超",张红岩：list027
4043,vivid,adj.清晰的，鲜艳的；大胆的，活泼的，逼真的,张红岩：list027
4044,volition,"n.自决,意志",张红岩：list027
4045,wit,n.智力，机智,张红岩：list027
4046,bonhomie,n. 好性情，温和，和蔼,张红岩：list027
4047,fraternal,"adj. 兄弟的,友善的",张红岩：list027
4048,hardbitten,"adj. 不屈的,顽强的",张红岩：list027
4049,homely,adj. 朴素的; 不漂亮的,张红岩：list027
4050,naivety,"n. 天真,纯朴,幼稚",张红岩：list027
4051,nimble,"adj. 敏捷的,灵活的",张红岩：list027
4052,outfox,vt. 以机智胜过,张红岩：list027
4053,prepossessing,adj.(个性等)给人好感的,张红岩：list027
4054,sangfroid,"n. 沉着,临危不惧",张红岩：list027
4055,scintillate,"vt. 闪烁,(谈吐)流露机智",张红岩：list027
4056,sleight,"n.巧妙手法,巧计,灵巧",张红岩：list027
4057,sociable,adj. 好交际的，友好的，合群的,张红岩：list027
4058,stouthearted,adj.勇敢的,张红岩：list027
4059,thrifty,adj.节省的,张红岩：list027
4060,ready,"adj.准备就绪的,乐意的, 情愿的,(思维)敏捷的",张红岩：list027
4061,effectual,"adj.奏效的, 收效的",张红岩：list027
4062,affability,"n.和蔼,亲切",张红岩：list027
4063,even-tempered,adj.性情平和的；脾气温和的；不易发火的,张红岩：list027
4064,spry,"adj.(指老年人)活跃的,敏捷的",张红岩：list027
4065,naive,adj.天真的; 轻信的,张红岩：list027
4066,modest,adj.谦虚的;谦让的,张红岩：list028
4067,fast,adv.快地；迅速地,张红岩：list028
4068,confident,adj.自信的；有把握的,张红岩：list028
4069,sensitive,adj.敏感的；灵敏的,张红岩：list028
4070,fleet,n.舰队；船队,张红岩：list028
4071,enterprise,n.（艰巨复杂的）事业；企业（或事业）单位,张红岩：list028
4072,conscience,n.良心；是非感,张红岩：list028
4073,upright,adv.&adj.直立地(的); 垂直地(的),张红岩：list028
4074,mature,adj.成熟的;充分发育的 vi.&vt.(使)成熟,张红岩：list028
4075,modest,adj. 谦虚的;质朴的,张红岩：list028
4076,acuity,n.(尤指思想或感官)敏锐,张红岩：list028
4077,aesthetic,adj.美学的，有审美感的,张红岩：list028
4078,agile,"adj. 敏捷的,灵活的",张红岩：list028
4079,alluring,"adj. 吸引人的, 迷人的",张红岩：list028
4080,altruism,n. 利他主义;不自私,张红岩：list028
4081,assertive,adj.过分自信的；有进取心的,张红岩：list028
4082,assiduous,adj. 勤勉的;专心的,张红岩：list028
4083,assure,"vt. 向某人保证, 确信",张红岩：list028
4084,audacious,"adj.大胆的,愚勇的",张红岩：list028
4085,chary,"adj. 小心的,审慎的",张红岩：list028
4086,clairvoyance,n.超人的洞察力,张红岩：list028
4087,cogitate,"vt. 慎重思考,思索",张红岩：list028
4088,collected,adj.泰然自若的,张红岩：list028
4089,comely,"adj. 动人的,美丽的",张红岩：list028
4090,confidence,n.信任，自信，信心,张红岩：list028
4091,conscience,"n. 良心,是非感",张红岩：list028
4092,conscientious,adj. 尽责的; 小心谨慎的,张红岩：list028
4093,dapper,adj.整洁漂亮的; 动作敏捷的,张红岩：list028
4094,deliberate,"adj. 深思熟虑的,故意的; vt. 慎重考虑",张红岩：list028
4095,delicacy,"n. 柔软,细嫩; 精致,优雅",张红岩：list028
4096,delicate,"adj. 柔软的,娇嫩的;精致的, 优美的",张红岩：list028
4097,delve,"vt. 深入探究,钻研",张红岩：list028
4098,diffident,adj. 缺乏自信的,张红岩：list028
4099,diligence,"n. 勤勉,勤奋",张红岩：list028
4100,discreet,adj.言行谨慎的,张红岩：list028
4101,discretion,"n.谨慎,审慎",张红岩：list028
4102,earnest,adj. 认真的,张红岩：list028
4103,egotist,n. 自私自利者,张红岩：list028
4104,engaging,"adj. 迷人的, 美丽动人的",张红岩：list028
4105,engross,vt. 全神贯注于,张红岩：list028
4106,enterprise,n.公司，事业单位；进取心,张红岩：list028
4107,enthralling,adj.迷人的，吸引人的,张红岩：list028
4108,exquisite,adj.精致的; 近完美的,张红岩：list028
4109,flit,vi. 掠过,张红岩：list028
4110,florid,adj.华丽的; (脸)红润的,张红岩：list028
4111,foresight,n.远见，深谋远虑,张红岩：list028
4112,gallant,adj. 勇敢的; (向女人)献殷勤的,张红岩：list028
4113,generosity,"n. 慷慨,大方",张红岩：list028
4114,genuine,adj. 真的; 真诚的,张红岩：list028
4115,gingerly,adj. adv.小心的(地); 谨慎的(地),张红岩：list028
4116,grace,n. 优美,张红岩：list028
4117,hospitable,adj.豁达的,张红岩：list028
4118,humility,"n. 谦逊,谦恭",张红岩：list028
4119,impassioned,adj. 慷慨激昂的,张红岩：list028
4120,improvident,"adj. 不顾将来的,不节俭的",张红岩：list028
4121,incisive,adj. 一针见血的,张红岩：list028
4122,industrious,"adj. 勤劳的, 勤勉的",张红岩：list028
4123,ineffable,adj. 妙不可言的,张红岩：list028
4124,intent,"adj. 专心的,渴望的;目的,意向",张红岩：list028
4125,liberality,n. 慷慨; 心胸开阔,张红岩：list028
4126,lissome,"adj.姿态优雅的,柔软的",张红岩：list028
4127,lope,n. 轻快的步伐; vt.轻快慢跑,张红岩：list028
4128,magnanimity,n.慷慨,张红岩：list028
4129,magnanimous,"adj. 宽宏大量的,慷慨的",张红岩：list028
4130,mature,adj. 成熟的;深思熟虑的,张红岩：list028
4131,measured,adj. 精确的; 慎重的,张红岩：list028
4132,meticulous,"adj. 细心的,一丝不苟的",张红岩：list028
4133,mettle,"n. 勇气,斗志",张红岩：list028
4134,modest,"adj. 谦虚的,谨慎的; 适度的",张红岩：list028
4135,morale,"n. 士气,精神力量",张红岩：list028
4136,munificence,"n. 慷慨, 宽宏大量",张红岩：list028
4137,nerve,n. 勇气; vt.鼓起勇气,张红岩：list028
4138,ornate,adj. 华美的; 充满装饰的,张红岩：list028
4139,outspoken,adj. 直言不讳的,张红岩：list028
4140,painstaking,adj. 煞费苦心的,张红岩：list028
4141,perspicacious,adj. 独具慧眼的,张红岩：list028
4142,pious,adj.虔诚的，尽责的,张红岩：list028
4143,pluck,"vi. vt. 拔毛;弹拉 n.勇气,勇敢",张红岩：list028
4144,preoccupation,n. 全神贯注,张红岩：list028
4145,probity,"n. 刚直,正直",张红岩：list028
4146,pulchritude,n.美丽,张红岩：list028
4147,punctilious,adj.谨小慎微的,张红岩：list028
4148,rapt,"adj.专心致志的,全神贯注的",张红岩：list028
4149,rectitude,"n. 诚实,正直",张红岩：list028
4150,responsive,"adj. 敏感的,反应快的",张红岩：list028
4151,scurry,"vi. 急跑,疾行",张红岩：list028
4152,sedentary,adj. 久坐的,张红岩：list028
4153,sedulity,"n. 勤奋,勤勉",张红岩：list028
4154,sedulous,"adj. 聚精会神的,勤勉的",张红岩：list028
4155,sensitive,adj. 敏感的,张红岩：list028
4156,sensitivity,"n. 敏感,灵敏性",张红岩：list028
4157,sensitization,n. 敏化,张红岩：list028
4158,seraphic,"adj. 如天使般的,美丽的",张红岩：list028
4159,sincere,adj.诚实的，正直的；真挚的，纯净的,张红岩：list028
4160,strive,vt.奋斗，努力,张红岩：list028
4161,studied,"adj. 慎重的,装模作样的",张红岩：list028
4162,subtle,"adj. 微妙的, 精巧的",张红岩：list028
4163,superb,"adj.上乘的,出色的",张红岩：list028
4164,swift,adj. 迅速的;敏捷的,张红岩：list028
4165,taking,adj.楚楚动人的,张红岩：list028
4166,toil,"vt. n.辛苦,辛勤劳作",张红岩：list028
4167,transfigure,"vt.美观,改观",张红岩：list028
4168,trenchant,adj. 一针见血的,张红岩：list028
4169,unassuming,"adj. 不摆架子的,不造作的",张红岩：list028
4170,unfeigned,adj. 真实的; 不作假的,张红岩：list028
4171,ungrudging,adj. 慷慨的,张红岩：list028
4172,unstinting,"adj. 极为慷慨的,大方的",张红岩：list028
4173,upright,adj. 垂直的;正直的,张红岩：list028
4174,valiant,"adj.勇敢的,英勇的",张红岩：list028
4175,valorous,adj.勇敢的,张红岩：list028
4176,veracious,"adj.诚实的,说真话的",张红岩：list028
4177,veracity,"n.真实性,诚实",张红岩：list028
4178,visionary,"adj. 有远见的; 空想的,幻想的; n. 空想家",张红岩：list028
4179,wary,"adj. 谨慎的,小心翼翼的",张红岩：list028
4180,winsome,"adj.媚人的,漂亮的",张红岩：list028
4181,bounteous,adj. 慷慨的; 丰富的,张红岩：list028
4182,cautionary,adj. 劝人谨慎的，警戒的,张红岩：list028
4183,celerity,"n.快速,迅速",张红岩：list028
4184,debonair,"adj.愉快的, 友好的",张红岩：list028
4185,engrossment,n. 正式缮写的文件；专注,张红岩：list028
4186,fleet,adj. 快速的；vi. vt. 消磨，疾驰；飞逝，掠过,张红岩：list028
4187,gallop,n. vi. vt. (马)飞奔; 疾驰,张红岩：list028
4188,gorgeous,"adj. 美丽的,极好的",张红岩：list028
4189,scamper,"vi. 奔跑,快跑",张红岩：list028
4190,scud,"vi. 疾行,疾驶",张红岩：list028
4191,self-abasement,n. 自卑，自谦,张红岩：list028
4192,sensitize,vt. 使某人或某事物敏感,张红岩：list028
4193,sprint,n.短距离全速奔跑,张红岩：list028
4194,spunk,"n.勇气,胆量",张红岩：list028
4195,upfront,adj.坦率的,张红岩：list028
4196,valor,n.英勇,张红岩：list028
4197,hardihood,"n. 大胆,鲁莽",张红岩：list028
4198,exploit,"adj.开采; 开发,剥削,n.业绩, 功绩, 功勋, 事迹",张红岩：list028
4199,heartfelt,adj.（感情或其表达）诚挚的；衷心的,张红岩：list028
4200,mean,v.表示…的意思;作…的解释,张红岩：list029
4201,dull,adj.乏味的；无聊的；单调的,张红岩：list029
4202,dull,adj.迟钝的；无趣的；呆滞的,张红岩：list029
4203,mean,adj.卑鄙的；吝啬的,张红岩：list029
4204,base,n.基地；根据地；底部,张红岩：list029
4205,forward,adv.向前,张红岩：list029
4206,vain,adj.徒劳的；徒然的,张红岩：list029
4207,abject,adj. 极可怜的;卑下的,张红岩：list029
4208,arrogant,"adj. 傲慢的,自大的",张红岩：list029
4209,atrocious,"adj.残忍的,凶恶的",张红岩：list029
4210,awkward,"adj. 笨拙的,别扭的; 尴尬的",张红岩：list029
4211,barbarous,adj.野蛮的; 残暴的,张红岩：list029
4212,barefaced,adj.厚颜无耻的,张红岩：list029
4213,bestial,"adj.野兽的,残忍的",张红岩：list029
4214,blatant,adj. 喧哗的; 显眼的,张红岩：list029
4215,blunder,vi. vt.犯大错; n.愚蠢之举,张红岩：list029
4216,brassy,adj.厚脸皮的,张红岩：list029
4217,brazen,adj.厚脸皮的,张红岩：list029
4218,brusque,"adj.唐突的,鲁莽的",张红岩：list029
4219,brutal,adj.残忍的; 严酷的,张红岩：list029
4220,bumptious,"adj. 傲慢的, 自夸的",张红岩：list029
4221,callous,adj. 结硬块的; 无情的,张红岩：list029
4222,clumsy,adj. 笨拙的; 拙劣的,张红岩：list029
4223,compulsion,n. 强迫; 难以抗拒的冲动,张红岩：list029
4224,conceit,"n. 自负,自大",张红岩：list029
4225,consequential,adj.傲慢的，自以为是的,张红岩：list029
4226,crass,"adj. 愚钝的, 粗糙的",张红岩：list029
4227,cursory,"adj. 粗略的,草率的",张红岩：list029
4228,curt,adj. (言词、行为)简略而草率的,张红岩：list029
4229,daft,adj. 傻的,张红岩：list029
4230,despicable,"adj. 可鄙的,卑劣的",张红岩：list029
4231,dolt,n. 傻瓜,张红岩：list029
4232,dote,vi. 溺爱; 昏聩,张红岩：list029
4233,effrontery,n. 厚颜无耻,张红岩：list029
4234,facetious,"adj.轻浮的,好开玩笑的",张红岩：list029
4235,fatuity,"n.愚蠢,愚昧",张红岩：list029
4236,fatuous,adj.愚昧而不自知的,张红岩：list029
4237,feral,"adj. 凶猛的,野的",张红岩：list029
4238,folly,"n. 愚蠢; 愚蠢的行为,思想或做法",张红岩：list029
4239,frivolous,"adj. 轻薄的,轻佻的",张红岩：list029
4240,fumble,"vi. vt. 摸索,搜寻",张红岩：list029
4241,gaucherie,n. 笨拙,张红岩：list029
4242,giddy,"adj.轻浮的,不严肃的",张红岩：list029
4243,grim,"adj. 冷酷的,可怕的",张红岩：list029
4244,grovel,"vi. 摇尾乞怜,奴颜婢膝",张红岩：list029
4245,hangdog,"adj.忧愁的, 低贱的",张红岩：list029
4246,haughty,"adj. 傲慢的,自大的",张红岩：list029
4247,hauteur,n. 傲慢,张红岩：list029
4248,headlong,"adj.adv.轻率的(地),迅猛的(地)",张红岩：list029
4249,headstrong,adj. 刚愎自用的,张红岩：list029
4250,heavy-handedness,"n. 笨拙,粗劣",张红岩：list029
4251,hubris,"n. 过分自傲,目中无人",张红岩：list029
4252,humble,adj. 卑微的; vt.使谦卑,张红岩：list029
4253,ignoble,adj. 卑鄙的,张红岩：list029
4254,ignominious,adj. 可耻的; 耻辱的,张红岩：list029
4255,ignorant,"adj. 无知的,愚昧的",张红岩：list029
4256,illiterate,adj. 文盲的,张红岩：list029
4257,impetuous,"adj. 冲动的,鲁莽的",张红岩：list029
4258,impudent,"adj. 鲁莽的,冒失的",张红岩：list029
4259,impulse,n. 冲动; 刺激,张红岩：list029
4260,inert,adj. 惰性的; 行动迟钝的,张红岩：list029
4261,inferior,adj.下级的，低等的，质次的，较差的,张红岩：list029
4262,inhumane,adj.不近人情的,张红岩：list029
4263,insensate,adj.无感觉的;蠢笨无情的,张红岩：list029
4264,lackluster,adj. 无光泽的; 呆滞的,张红岩：list029
4265,lethargy,n. 昏睡; 倦怠,张红岩：list029
4266,levity,n. 轻率; 轻浮,张红岩：list029
4267,liberty,n.随意，冒失,张红岩：list029
4268,lumber,"vi. vt. 蹒跚而行,笨拙地走; n. 杂物",张红岩：list029
4269,maladroit,n. 笨拙的,张红岩：list029
4270,mendicant,adj. 行乞的; n.乞丐,张红岩：list029
4271,narcissism,"n. 自恋,自爱",张红岩：list029
4272,numb,adj. 麻木的,张红岩：list029
4273,obtuse,adj. 愚笨的; 不锐利的,张红岩：list029
4274,outrage,n.暴行,张红岩：list029
4275,perfunctory,"adj. 草率的,敷衍的",张红岩：list029
4276,pomposity,n.自大的行为，傲慢，自命不凡,张红岩：list029
4277,pontifical,adj. 自以为是的; 武断的,张红岩：list029
4278,precipitate,"vi. vt. 加速,促成; adj.鲁莽的",张红岩：list029
4279,preen,vi. vt. 整理羽毛; (人)打扮修饰,张红岩：list029
4280,pretension,n. 自命不凡,张红岩：list029
4281,pretentious,adj. 自抬身价的,张红岩：list029
4282,primp,vt. (妇女)刻意打扮,张红岩：list029
4283,refractory,adj. 难驾驭的; (病)难治的,张红岩：list029
4284,relentless,"adj. 无情的,残酷的",张红岩：list029
4285,riotous,"adj. 暴乱的,蛮横的",张红岩：list029
4286,ruthlessness,"n. 无情,残忍",张红岩：list029
4287,savage,"adj. 凶猛的,野蛮的",张红岩：list029
4288,scurvy,"adj. 卑鄙的,可鄙的",张红岩：list029
4289,servile,"adj.奴性的,百依百顺的",张红岩：list029
4290,severe,"adj. 严格的, 凶猛的",张红岩：list029
4291,slipshod,"adj. 马虎的,草率的",张红岩：list029
4292,smug,"adj. 自满的,自命不凡的",张红岩：list029
4293,supercilious,adj.目中无人的,张红岩：list029
4294,temerity,"n.鲁莽,大胆",张红岩：list029
4295,truculent,"adj. 残暴的,凶狠的",张红岩：list029
4296,uncouth,adj. 粗野笨拙的,张红岩：list029
4297,underhanded,"adj. 不光明的,卑鄙的",张红岩：list029
4298,unenlightened,adj. 愚昧无知的;不文明的,张红岩：list029
4299,ungainly,adj.笨拙的,张红岩：list029
4300,uninitiated,"n. 外行的,缺乏经验的",张红岩：list029
4301,unscrupulousness,"n. 狂妄,肆无忌惮",张红岩：list029
4302,upstage,"adj.骄傲的,高傲的",张红岩：list029
4303,vacuous,adj.发呆的,张红岩：list029
4304,vain,adj. 自负的; 徒劳的,张红岩：list029
4305,vanity,"n.虚荣,自负",张红岩：list029
4306,vicious,"adj.残酷的,危险的",张红岩：list029
4307,vile,"adj. 恶劣的, 卑鄙的",张红岩：list029
4308,virtuous,adj. 有美德的;自命清高的,张红岩：list029
4309,abase,"vt.贬抑,使卑下",张红岩：list029
4310,abrupt,adj. 突然的，意外的；唐突的,张红岩：list029
4311,asinine,adj. 愚笨的,张红岩：list029
4312,bandy,vt.顶嘴谈论,张红岩：list029
4313,bloated,adj. 肿胀的,张红岩：list029
4314,botch,vt.(笨手笨脚地)弄坏某事物,张红岩：list029
4315,bovine,adj. (似)牛的; 迟钝的,张红岩：list029
4316,bumble,vt. 说话含糊,张红岩：list029
4317,contumely,"n. 无礼,傲慢",张红岩：list029
4318,currish,"adj. 下贱的,杂种的",张红岩：list029
4319,dotage,n. 老年糊涂; 溺爱,张红岩：list029
4320,dullard,n. 愚人，笨蛋,张红岩：list029
4321,dunce,n. 笨人,张红岩：list029
4322,ferocious,"adj.凶猛的,残暴的",张红岩：list029
4323,fritter,vt.(在无意义上的小事上)愚蠢地浪费(时间和金钱),张红岩：list029
4324,gauche,"adj. 笨拙的,不会社交的",张红岩：list029
4325,gloss-over,vt.潦草地或敷衍地处理某事,张红岩：list029
4326,gruff,"adj.(指人,声音)粗野的",张红岩：list029
4327,infatuate,vt. 使迷恋；使糊涂,张红岩：list029
4328,insanity,n. 疯狂; 愚昧,张红岩：list029
4329,lowbred,"adj. 粗野的,鲁莽的",张红岩：list029
4330,moron,"n. 极蠢之人,低能儿",张红岩：list029
4331,muzzy,adj. 头脑糊涂的,张红岩：list029
4332,overweening,"adj. 自负的,过于自信的",张红岩：list029
4333,perverse,"adj. 刚愎自用的,故意作对的   """,张红岩：list029
4334,pitiless,adj. 无情的，冷酷的，无怜悯心的,张红岩：list029
4335,purblind,adj.愚钝的; 视力不佳的,张红岩：list029
4336,rowdy,"adj. 吵闹的,粗暴的",张红岩：list029
4337,sadistic,"adj.施虐狂的,性施虐狂的",张红岩：list029
4338,satanic,adj. 穷凶恶极的,张红岩：list029
4339,self-absorbed,adj. 自恋的,张红岩：list029
4340,serfdom,n. 农奴身份，农奴境遇,张红岩：list029
4341,skittish,"adj.轻浮的,轻佻的",张红岩：list029
4342,pertness,"n.无礼,傲慢",张红岩：list029
4343,sneaky,"adj.鬼祟的,卑鄙的",张红岩：list029
4344,cold-blooded,"adj.（动物）冷血的；冷血动物的,无情的；残忍的",张红岩：list029
4345,half-backed,"adj.有(某种的)血的,血统优良的,有战斗经验的",张红岩：list029
4346,ham-handed,adj.笨手笨脚的,张红岩：list029
4347,gawk,"adj.（不加掩饰地）呆望,n.笨拙（或羞涩）的人",张红岩：list029
4348,maladroitness,"n.(制度或机构的)弊病, 弊端",张红岩：list029
4349,toy,n.玩具,张红岩：list030
4350,license,n.执照；许可证,张红岩：list030
4351,artifice,n. 巧办法; 诡计,张红岩：list030
4352,artless,adj. 粗俗的; 自然的,张红岩：list030
4353,asperity,n. 粗鲁; 艰苦,张红岩：list030
4354,baleful,"adj.邪恶的,恶意的",张红岩：list030
4355,bawdy,adj.淫猥的,张红岩：list030
4356,boggle,vi. vt. 畏缩不前; 不敢想,张红岩：list030
4357,brash,"adj.性急的, 无礼的",张红岩：list030
4358,brittle,adj. 脆弱的; 声音尖利的,张红岩：list030
4359,bungle,vt. 粗制滥造; n. 拙劣的工作,张红岩：list030
4360,chicanery,"n. 诡计,狡诈",张红岩：list030
4361,craven,"adj. 懦弱的,畏缩的",张红岩：list030
4362,cringe,"vi. 畏缩; 谄媚,奉承",张红岩：list030
4363,cunning,adj. 善于骗人的;灵巧的n. 欺诈行为,张红岩：list030
4364,diabolical,"adj.恶毒的,狠毒的",张红岩：list030
4365,diplomatic,adj.外交的; 圆滑的,张红岩：list030
4366,distracted,"adj. 心烦意乱的,精神不集中的",张红岩：list030
4367,duplicitous,"adj. 搞两面派的,奸诈的; 双重的",张红岩：list030
4368,duplicity,"n. 欺骗,口是心非",张红岩：list030
4369,earthy,adj.粗俗的，粗陋的,张红岩：list030
4370,enmesh,"vt.(通常被动)绊住, 陷入网",张红岩：list030
4371,enormity,n.极恶; 暴行; 巨大,张红岩：list030
4372,execrable,adj. 极坏的,张红岩：list030
4373,finesse,n.技巧; 计谋; 手段,张红岩：list030
4374,flaccid,adj.松弛的; 软弱的,张红岩：list030
4375,flamboyant,"adj.艳丽的,炫耀的",张红岩：list030
4376,flimsy,adj.轻而薄的; 脆弱的,张红岩：list030
4377,flinch,"vt.畏缩,退缩",张红岩：list030
4378,flip,adj. 不敬的,张红岩：list030
4379,foppish,"adj. 浮华的,俗丽的",张红岩：list030
4380,frail,adj. 脆弱的; 不坚实的,张红岩：list030
4381,glib,"adj. 流利圆滑的,善辩的",张红岩：list030
4382,guile,"n. 欺诈,狡猾",张红岩：list030
4383,halfhearted,adj.不认真的，不热心的,张红岩：list030
4384,heinous,adj. 十恶不赦的,张红岩：list030
4385,hideous,"adj. 讨厌的,丑恶的",张红岩：list030
4386,humor,"vt. 纵容,迁就",张红岩：list030
4387,impertinence,"n. 无礼, 粗鲁",张红岩：list030
4388,inadvertence,n. 漫不经心,张红岩：list030
4389,indulge,vi. vt. 放纵,张红岩：list030
4390,iniquitous,"adj.邪恶的,不公正的",张红岩：list030
4391,iniquity,"n.邪恶,不公正",张红岩：list030
4392,insolent,"adj. 粗野的,无礼的",张红岩：list030
4393,insouciant,adj. 漫不经心的,张红岩：list030
4394,license,"n. 自由;放肆; 许可证, 执照",张红岩：list030
4395,licentious,adj. 纵欲的; 放肆的,张红岩：list030
4396,limp,"vi. 跛行; adj.无力的,松软的",张红岩：list030
4397,loutish,adj.粗鲁的,张红岩：list030
4398,lust,n. 强烈的欲望,张红岩：list030
4399,malevolent,"adj. 有恶意的,恶毒的",张红岩：list030
4400,malicious,"adj. 恶意的,怨毒的",张红岩：list030
4401,malign,"vt. 诽谤,中伤; adj. 邪恶的",张红岩：list030
4402,mundane,"adj. 现世的,世俗的",张红岩：list030
4403,negligence,"n. 疏忽,粗心",张红岩：list030
4404,opprobrious,"adj. 辱骂的,恶名声的",张红岩：list030
4405,overbearing,"adj. 专横的,独断的",张红岩：list030
4406,peremptory,adj. 不容反抗的; 专横的,张红岩：list030
4407,pitfall,n. 陷阱;未料到的危险或困难,张红岩：list030
4408,ploy,"n. 花招,手段",张红岩：list030
